user_id,synch,asynch,upqa,tpqa,is_lira,course_id,tqc_fa,eqc_fa,eqc_fa_sr,tq_fa_sr,rc
27,0,13,13,31,1,5,8,0,0,0.3333333333333333,0
29,0,1,1,1,1,5,3,0,0,0.375,0
257,38,45,83,162,1,5,49,14,0.9333333333333332,0.875,1
322,0,27,27,56,1,5,25,0,0,0.6578947368421053,0
427,3,80,83,145,1,5,40,10,0.6666666666666666,0.7142857142857143,0
586,0,4,4,6,1,5,9,12,0.8,0.6428571428571429,0
1795,0,69,72,154,0,4,25,0,0,0.4464285714285714,0
2385,2,2,4,4,1,5,0,0,0,0,0
2758,0,0,0,0,1,5,0,0,0,0,0
3146,0,3,3,11,0,4,0,0,0,0,0
3208,0,10,10,24,1,5,0,0,0,0,0
4124,0,83,83,115,1,5,39,11,0.7333333333333333,0.6964285714285714,0
4184,0,2,2,2,1,5,1,0,0,0.25,0
4653,4,77,81,130,0,4,37,11,0.7333333333333333,0.7551020408163265,0
4800,0,72,72,156,1,5,24,0,0,0.4897959183673469,0
4883,1,21,22,46,1,5,7,0,0,0.4375,0
5549,0,83,83,115,1,5,45,11,0.7333333333333333,0.8035714285714286,0
6062,0,24,24,62,1,5,5,0,0,0.4545454545454545,0
6798,0,19,19,43,1,5,18,0,0,0.72,0
7604,0,81,81,140,0,4,23,12,0.8,0.4693877551020408,0
7618,0,13,13,25,0,4,6,0,0,0.4285714285714285,0
7751,0,83,83,163,1,5,48,12,0.8,0.8571428571428571,0
8167,0,10,10,14,1,5,30,12,0.8,0.5357142857142857,0
8279,0,0,0,0,0,4,0,0,0,0,0
8887,4,79,83,196,1,5,31,10,0.6666666666666666,0.5535714285714286,0
9231,3,80,83,107,1,5,31,8,0.5333333333333333,0.5535714285714286,0
9428,4,11,15,22,1,5,6,0,0,1,0
9720,0,5,5,7,1,5,8,9,0.6,0.3478260869565217,0
9810,5,78,83,142,1,5,42,12,0.8,0.8571428571428571,0
10036,0,39,39,76,1,5,18,0,0,0.4390243902439024,0
10612,0,13,13,17,1,5,0,0,0,0,0
10731,0,2,2,4,0,4,3,0,0,0.5,0
10756,2,79,81,147,0,4,33,14,0.9333333333333332,0.673469388,1
11013,9,72,81,271,0,4,51,12,0.8,0.9107142857142856,1
11459,0,26,26,53,1,5,22,4,0.4444444444444444,0.7333333333333333,0
